"left sensor","right sensor","left ultrasound sensor","right ultrasound sensor","left motor","right motor"
"0.02","0.17","0.0","0.0","220","70"
"0.02","0.18","0.0","0.0","229","70"
"0.03","0.19","0.0","0.0","240","80"
"0.03","0.19","0.5800000000000001","0.0","240","-500"
"0.03","0.2","0.5700000000000001","0.0","250","-500"
"0.03","0.2","0.63","0.0","250","-500"
"0.03","0.2","0.5449999999999999","0.0","250","-500"
"0.03","0.21","0.5449999999999999","0.0","260","-500"
"0.03","0.19","0.495","0.0","240","-500"
"0.02","0.17","0.495","0.0","220","-500"
"0.02","0.15","0.495","0.0","200","-500"
"0.02","0.15","0.495","0.0","200","-500"
"0.02","0.16","0.495","0.0","210","-500"
"0.02","0.17","0.43999999999999995","0.0","220","-500"
"0.03","0.18","0.5700000000000001","0.0","229","-500"
"0.03","0.18","0.5700000000000001","0.0","229","-500"
"0.03","0.19","0.5900000000000001","0.0","240","-500"
"0.03","0.18","0.61","0.0","229","-500"
"0.03","0.18","0.64","0.0","229","-500"
"0.04","0.18","0.7050000000000001","0.0","229","-500"
"0.04","0.18","0.75","0.0","229","-500"
"0.04","0.18","0.685","0.0","229","-500"
"0.04","0.18","0.675","0.0","229","-500"
"0.04","0.17","0.71","0.0","220","-500"
"0.04","0.18","0.675","0.0","229","-500"
"0.04","0.17","0.665","0.0","220","-500"
"0.04","0.17","0.665","0.0","220","-500"
"0.04","0.17","0.71","0.0","220","-500"
"0.04","0.17","0.71","0.0","220","-500"
"0.04","0.17","0.665","0.0","220","-500"
"0.04","0.17","0.665","0.0","220","-500"
"0.04","0.17","0.675","0.0","220","-500"
"0.04","0.17","0.71","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.17","0.64","0.0","220","-500"
"0.04","0.16","0.665","0.0","210","-500"
"0.04","0.17","0.685","0.0","220","-500"
"0.05","0.16","0.5900000000000001","0.0","210","-500"
"0.04","0.16","0.64","0.0","210","-500"
"0.04","0.16","0.64","0.0","210","-500"
"0.05","0.16","0.62","0.0","210","-500"
"0.05","0.17","0.615","0.0","220","-500"
"0.05","0.16","0.615","0.0","210","-500"
"0.05","0.16","0.615","0.0","210","-500"
"0.05","0.16","0.62","0.0","210","-500"
"0.05","0.17","0.64","0.0","220","-500"
"0.05","0.17","0.64","0.0","220","-500"
"0.05","0.17","0.62","0.0","220","-500"
"0.05","0.16","0.615","0.0","210","-500"
"0.05","0.17","0.5700000000000001","0.0","220","-500"
"0.05","0.17","0.5700000000000001","0.0","220","-500"
"0.05","0.17","0.615","0.0","220","-500"
"0.05","0.17","0.615","0.0","220","-500"
"0.05","0.17","0.615","0.0","220","-500"
"0.05","0.17","0.525","0.0","220","-500"
"0.05","0.17","0.525","0.0","220","-500"
"0.05","0.17","0.615","0.0","220","-500"
"0.05","0.17","0.615","0.0","220","-500"
"0.05","0.16","0.615","0.0","210","-500"
"0.05","0.16","0.61","0.0","210","-500"
"0.05","0.16","0.615","0.0","210","-500"
"0.05","0.17","0.615","0.0","220","-500"
"0.05","0.17","0.62","0.0","220","-500"
"0.05","0.17","0.62","0.0","220","-500"
"0.05","0.17","0.62","0.0","220","-500"
"0.05","0.16","0.62","0.0","210","-500"
"0.05","0.16","0.62","0.0","210","-500"
"0.05","0.17","0.62","0.0","220","-500"
"0.05","0.17","0.62","0.0","220","-500"
"0.05","0.17","0.615","0.0","220","-500"
"0.05","0.16","0.615","0.0","210","-500"
"0.05","0.17","0.5800000000000001","0.0","220","-500"
"0.05","0.17","0.5800000000000001","0.0","220","-500"
"0.05","0.17","0.5800000000000001","0.0","220","-500"
"0.05","0.16","0.5800000000000001","0.0","210","-500"
"0.05","0.17","0.5800000000000001","0.0","220","-500"
"0.05","0.17","0.5800000000000001","0.0","220","-500"
"0.05","0.16","0.5800000000000001","0.0","210","-500"
"0.05","0.17","0.5800000000000001","0.0","220","-500"
"0.05","0.17","0.615","0.0","220","-500"
"0.06","0.17","0.5800000000000001","0.0","220","-500"
"0.06","0.17","0.5800000000000001","0.0","220","-500"
"0.06","0.17","0.5800000000000001","0.0","220","-500"
"0.06","0.17","0.5800000000000001","0.0","220","-500"
"0.06","0.17","0.5800000000000001","0.0","220","-500"
"0.06","0.17","0.5800000000000001","0.0","220","-500"
"0.06","0.17","0.5800000000000001","0.0","220","-500"
"0.06","0.18","0.5800000000000001","0.0","229","-500"
"0.05","0.17","0.5800000000000001","0.0","220","-500"
"0.05","0.18","0.5800000000000001","0.0","229","-500"
"0.05","0.18","0.5800000000000001","0.0","229","-500"
"0.05","0.18","0.5800000000000001","0.0","229","-500"
"0.05","0.18","0.0","0.0","229","100"
"0.04","0.18","0.0","0.0","229","90"
"0.04","0.18","0.0","0.0","229","90"
"0.05","0.18","0.0","0.0","229","100"
"0.05","0.18","0.0","0.0","229","100"
"0.05","0.19","0.0","0.0","240","100"
"0.05","0.19","0.0","0.0","240","100"
"0.05","0.19","0.0","0.0","240","100"
"0.05","0.19","0.0","0.0","240","100"
"0.05","0.19","0.0","0.0","240","100"
"0.05","0.19","0.0","0.0","240","100"
"0.05","0.2","0.685","0.0","250","-500"
"0.06","0.2","0.725","0.0","250","-500"
"0.05","0.21","0.71","0.0","260","-500"
"0.06","0.21","0.755","0.0","260","-500"
"0.08","0.22","0.755","0.0","270","-500"
"0.09","0.22","0.755","0.0","270","-500"
"0.09","0.22","0.755","0.0","270","-500"
"0.08","0.23","0.755","0.0","280","-500"
"0.08","0.23","0.755","0.0","280","-500"
"0.08","0.22","0.755","0.0","270","-500"
"0.07","0.22","0.755","0.0","270","-500"
"0.07","0.22","0.755","0.0","270","-500"
"0.06","0.22","0.755","0.0","270","-500"
"0.06","0.22","0.755","0.0","270","-500"
"0.06","0.22","0.7150000000000001","0.0","270","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.7150000000000001","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.7150000000000001","0.0","270","-500"
"0.05","0.22","0.7150000000000001","0.0","270","-500"
"0.05","0.23","0.7150000000000001","0.0","280","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.78","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.71","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.7150000000000001","0.0","270","-500"
"0.05","0.22","0.71","0.0","270","-500"
"0.05","0.22","0.725","0.0","270","-500"
"0.05","0.22","0.745","0.0","270","-500"
"0.05","0.22","0.745","0.0","270","-500"
"0.05","0.22","0.745","0.0","270","-500"
"0.05","0.23","0.725","0.0","280","-500"
"0.05","0.22","0.725","0.0","270","-500"
"0.05","0.22","0.725","0.0","270","-500"
"0.05","0.23","0.7150000000000001","0.0","280","-500"
"0.05","0.22","0.7150000000000001","0.0","270","-500"
"0.05","0.23","0.75","0.0","280","-500"
"0.05","0.23","0.75","0.0","280","-500"
"0.05","0.23","0.755","0.0","280","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.755","0.0","270","-500"
"0.05","0.22","0.745","0.0","270","-500"
"0.05","0.22","0.745","0.0","270","-500"
"0.05","0.22","0.725","0.0","270","-500"
"0.05","0.22","0.725","0.0","270","-500"
"0.05","0.22","0.7050000000000001","0.0","270","-500"
"0.05","0.22","0.685","0.0","270","-500"
"0.05","0.22","0.675","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.665","0.0","270","-500"
"0.05","0.22","0.71","0.0","270","-500"
"0.05","0.22","0.7150000000000001","0.0","270","-500"
"0.05","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.725","0.0","270","-500"
"0.05","0.22","0.725","0.0","270","-500"
"0.05","0.22","0.7050000000000001","0.0","270","-500"
"0.05","0.22","0.725","0.0","270","-500"
"0.05","0.21","0.75","0.0","260","-500"
"0.04","0.22","0.75","0.0","270","-500"
"0.05","0.22","0.7150000000000001","0.0","270","-500"
"0.05","0.22","0.7150000000000001","0.0","270","-500"
"0.05","0.21","0.71","0.0","260","-500"
"0.05","0.21","0.71","0.0","260","-500"
"0.05","0.21","0.7150000000000001","0.0","260","-500"
"0.05","0.21","0.725","0.0","260","-500"
"0.04","0.21","0.675","0.0","260","-500"
"0.04","0.21","0.675","0.0","260","-500"
"0.02","0.18","0.0","0.0","229","70"
"0.02","0.16","0.0","0.0","210","70"
"0.02","0.12","0.0","0.0","169","70"
"0.02","0.07","0.0","0.0","120","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.06","0.0","0.0","110","70"
"0.02","0.06","0.0","0.0","110","70"
"0.02","0.06","0.0","0.0","110","70"
"0.02","0.06","0.0","0.0","110","70"
"0.02","0.06","0.0","0.0","110","70"
"0.03","0.06","0.0","0.0","110","80"
"0.02","0.08","0.0","0.0","130","70"
"0.03","0.14","0.0","0.0","190","80"
"0.03","0.17","0.0","0.0","220","80"
"0.02","0.19","0.0","0.0","240","70"
"0.02","0.21","0.0","0.0","260","70"
"0.02","0.22","0.0","0.0","270","70"
"0.02","0.22","0.0","0.0","270","70"
"0.02","0.22","0.0","0.0","270","70"
"0.02","0.21","0.0","0.0","260","70"
"0.03","0.21","0.0","0.0","260","80"
"0.03","0.21","0.0","0.0","260","80"
"0.03","0.21","0.0","0.0","260","80"
"0.03","0.21","0.615","0.0","260","-500"
"0.04","0.21","0.62","0.0","260","-500"
"0.04","0.22","0.665","0.0","270","-500"
"0.04","0.22","0.64","0.0","270","-500"
"0.05","0.22","0.71","0.0","270","-500"
"0.06","0.21","0.7050000000000001","0.0","260","-500"
"0.07","0.2","0.675","0.0","250","-500"
"0.07","0.2","0.62","0.0","250","-500"
"0.07","0.19","0.5900000000000001","0.0","240","-500"
"0.07","0.2","0.5800000000000001","0.0","250","-500"
"0.08","0.2","0.5700000000000001","0.0","250","-500"
"0.08","0.19","0.61","0.0","240","-500"
"0.1","0.19","0.0","0.63","-500","150"
"0.11","0.19","0.0","0.5800000000000001","-500","160"
"0.14","0.17","0.63","0.5700000000000001","-500","-500"
"0.15","0.16","0.0","0.5700000000000001","-500","200"
"0.16","0.15","0.0","0.5700000000000001","-500","210"
"0.17","0.14","0.0","0.685","-500","220"
"0.18","0.12","0.0","0.685","-500","229"
"0.19","0.1","0.0","0.685","-500","240"
"0.2","0.08","0.0","0.685","-500","250"
"0.21","0.06","0.0","0.665","-500","260"
"0.22","0.05","0.0","0.665","-500","270"
"0.23","0.05","0.0","0.5449999999999999","-500","280"
"0.23","0.04","0.0","0.615","-500","280"
"0.23","0.04","0.0","0.615","-500","280"
"0.23","0.04","0.0","0.665","-500","280"
"0.23","0.05","0.0","0.63","-500","280"
"0.23","0.04","0.0","0.71","-500","280"
"0.23","0.04","0.0","0.665","-500","280"
"0.23","0.05","0.0","0.685","-500","280"
"0.23","0.04","0.0","0.755","-500","280"
"0.23","0.04","0.0","0.75","-500","280"
"0.23","0.05","0.0","0.7050000000000001","-500","280"
"0.23","0.04","0.0","0.665","-500","280"
"0.23","0.05","0.0","0.675","-500","280"
"0.22","0.04","0.0","0.7150000000000001","-500","270"
"0.22","0.05","0.0","0.665","-500","270"
"0.22","0.04","0.0","0.665","-500","270"
"0.22","0.05","0.0","0.665","-500","270"
"0.22","0.05","0.0","0.665","-500","270"
"0.22","0.05","0.0","0.665","-500","270"
"0.22","0.04","0.0","0.665","-500","270"
"0.22","0.05","0.0","0.665","-500","270"
"0.21","0.05","0.0","0.665","-500","260"
"0.21","0.05","0.0","0.665","-500","260"
"0.21","0.04","0.0","0.665","-500","260"
"0.21","0.05","0.0","0.665","-500","260"
"0.2","0.04","0.0","0.665","-500","250"
"0.2","0.04","0.0","0.665","-500","250"
"0.19","0.05","0.0","0.665","-500","240"
"0.19","0.04","0.0","0.0","90","240"
"0.19","0.04","0.0","0.0","90","240"
